6,2.5,2.5
6,5,2.5
6,2.5,2.5
10,5,0
7.33,5,5
2,0,0
2,2.5,0
10,0,1.66
2,0,3.33
10,3.33,5
10,2.5,2.5
4.66,5,0
10,1.66,0
10,5,0
6,2.5,2.5
10,0,5
6,0,2.5
4,1.25,1.25
2,5,5
6,0,0
2,5,5
2,1.66,5
2,5,1.66
2,2.5,2.5
2,0,0
8,3.75,1.25
4.66,0,5
10,5,3.33
4,3.75,3.75
8,1.25,3.75
10,0,5
